customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
1818-MBXPJ,12-06-2020,Organic,12-06-2021,Basic,Monthly,,,6.16,342,48
1819-BHGNW,28-05-2021,Paid,28-05-2022,Premium,Annual,05-11-2021,Switched to competitor,22.49,1067,91
1820-UFSWG,02-04-2020,Organic,02-04-2021,Standard,Monthly,,,14.52,918,67
1821-PVRXP,06-12-2019,Organic,06-12-2020,Basic,Monthly,26-09-2020,Not enough content,8.16,556,67
1822-UJMQW,05-02-2022,Organic,05-02-2023,Standard,Monthly,05-09-2022,Switched to competitor,11.27,675,75
1823-HJSMA,11-12-2021,Organic,11-12-2022,Standard,Monthly,,,12.31,811,56
1824-YTAFH,23-08-2024,Paid,23-08-2025,Standard,Monthly,,,13.53,1089,83
1825-VAUZR,03-05-2022,Organic,03-05-2023,Standard,Monthly,12-11-2022,Switched to competitor,12.26,596,24
1826-UJBDP,17-03-2020,Organic,17-03-2021,Premium,Annual,23-06-2020,Not enough content,22.58,1172,48
1827-FXFFG,05-07-2022,Organic,05-07-2023,Premium,Annual,,,18.05,597,69
1828-ERFBX,26-12-2021,Organic,26-12-2022,Basic,Monthly,18-11-2022,Switched to competitor,11.77,371,95
1829-YRDBJ,23-11-2024,Organic,23-11-2025,Standard,Annual,,,12.78,741,67
1830-EGKRF,11-03-2020,Paid,11-03-2021,Standard,Annual,,,13.89,323,51
1831-GGNTY,03-02-2020,Organic,03-02-2021,Premium,Monthly,,,20.96,674,46
1832-SKYQS,19-02-2021,Paid,19-02-2022,Premium,Annual,30-08-2021,Switched to competitor,24.17,1167,28
1833-FLDJG,24-12-2020,Organic,24-12-2021,Basic,Monthly,,,7.38,618,43
1834-XANNN,25-10-2019,Paid,25-10-2020,Premium,Monthly,,,21.74,1207,78
1835-KRFYQ,19-06-2020,Refferal,19-06-2021,Basic,Monthly,,,7.26,232,35
1836-DRPYD,19-12-2024,Organic,19-12-2025,Standard,Monthly,,,12.17,763,99
1837-VTRYB,24-04-2020,Paid,24-04-2021,Basic,Annual,10-10-2020,Forgot to cancel trial,5.99,573,14
1838-SDVCW,28-03-2023,Paid,28-03-2024,Standard,Monthly,,,15.19,889,71
1839-BHHDW,17-06-2020,Organic,17-06-2021,Basic,Annual,,,7.71,650,49
1840-HTQTF,23-05-2019,Paid,23-05-2020,Basic,Monthly,,,5.99,380,47
1841-TYYPW,17-03-2024,Paid,17-03-2025,Standard,Monthly,23-11-2024,Poor streaming quality,14.38,759,99
1842-TSBJE,11-01-2024,Refferal,11-01-2025,Premium,Monthly,,,20.3,1026,83
1843-RPQBK,13-10-2023,Organic,13-10-2024,Standard,Annual,,,14.91,1076,61
1844-NRXZX,07-02-2019,Organic,07-02-2020,Basic,Monthly,,,5.99,352,60
1845-SWTFX,13-08-2022,Paid,13-08-2023,Basic,Monthly,,,9.21,591,31
1846-RYNWV,04-12-2023,Paid,04-12-2024,Standard,Annual,,,13.34,764,73
1847-JMTAT,15-06-2020,Paid,15-06-2021,Basic,Annual,,,5.99,291,46
1848-QSRAL,10-10-2022,Paid,10-10-2023,Basic,Monthly,,,5.99,435,48
1849-QHSGJ,15-07-2019,Paid,15-07-2020,Basic,Annual,,,13.33,334,54
1850-NNZHQ,04-03-2021,Organic,04-03-2022,Premium,Annual,23-11-2021,Switched to competitor,19.75,1207,77
1851-GWJCF,04-12-2021,Refferal,04-12-2022,Standard,Monthly,19-08-2022,Not enough content,10.5,1083,12
1852-QWQRA,19-08-2022,Refferal,19-08-2023,Basic,Annual,,,8.85,703,22
1853-DXVAR,20-03-2021,Paid,20-03-2022,Standard,Monthly,,,8.19,716,59
1854-YVJHA,25-07-2021,Organic,25-07-2022,Basic,Annual,,,10.02,565,18
1855-RRLAM,11-07-2023,Paid,11-07-2024,Basic,Annual,,,5.99,285,50
1856-BDHJC,08-08-2024,Paid,08-08-2025,Premium,Annual,,,20.09,813,34
1857-NPFJH,28-12-2020,Refferal,28-12-2021,Basic,Monthly,,,9.88,564,44
1858-BJBWB,07-11-2021,Organic,07-11-2022,Standard,Monthly,,,10.8,694,49
1859-CUMJH,04-04-2020,Refferal,04-04-2021,Standard,Monthly,14-08-2020,Too expensive,19.76,1349,30
1860-QEYNN,14-09-2021,Organic,14-09-2022,Basic,Annual,19-03-2022,Poor streaming quality,10.18,869,48
1861-YTMVN,16-07-2021,Paid,16-07-2022,Basic,Monthly,,,8.81,579,61
1862-YZFVD,18-01-2019,Organic,18-01-2020,Standard,Monthly,16-06-2019,Not enough content,16.68,520,81
1863-NKNXE,18-03-2022,Paid,18-03-2023,Premium,Monthly,,,18.09,772,60
1864-UDNCQ,18-09-2021,Refferal,18-09-2022,Basic,Annual,,,7.85,444,70
1865-UNXGH,03-02-2023,Organic,03-02-2024,Basic,Monthly,,,7.9,652,51
1866-NUPQZ,19-08-2022,Paid,19-08-2023,Basic,Monthly,,,5.99,504,39
1867-VJRRT,24-12-2019,Paid,24-12-2020,Basic,Monthly,29-05-2020,Forgot to cancel trial,10.63,162,41
1868-MDWJF,11-05-2019,Organic,11-05-2020,Basic,Monthly,,,9.35,338,35
1869-YVNEU,08-06-2020,Organic,08-06-2021,Premium,Monthly,19-12-2020,Poor streaming quality,19.62,539,57
1870-HRCJK,13-04-2021,Paid,13-04-2022,Premium,Annual,,,16.14,1213,77
1871-EADQZ,03-05-2021,Organic,03-05-2022,Premium,Annual,,,22.42,1019,27
1872-ZHXJW,07-08-2020,Organic,07-08-2021,Basic,Monthly,,,7.98,764,63
1873-CRSLN,09-07-2022,Paid,09-07-2023,Standard,Annual,,,12.37,926,52
1874-PENWY,04-08-2020,Organic,04-08-2021,Standard,Annual,,,17.19,1116,64
1875-ZUUWV,16-09-2020,Refferal,16-09-2021,Standard,Annual,12-02-2021,Too expensive,14.17,758,80
1876-LVCTQ,09-06-2020,Refferal,09-06-2021,Premium,Annual,04-10-2020,Too expensive,19.1,1225,86
1877-TJMAU,12-05-2020,Paid,12-05-2021,Premium,Monthly,25-04-2021,Poor streaming quality,20.02,1083,53
1878-YYDGY,06-03-2020,Refferal,06-03-2021,Standard,Annual,,,15.01,665,52
1879-AHNCK,20-01-2019,Organic,20-01-2020,Basic,Annual,,,11.73,764,66
1880-JKPAJ,01-01-2023,Organic,01-01-2024,Premium,Monthly,17-02-2023,Poor streaming quality,23.06,836,38
1881-XRMEA,18-03-2023,Organic,18-03-2024,Premium,Annual,26-08-2023,Not enough content,24.97,705,48
1882-DTYTQ,14-03-2024,Organic,14-03-2025,Standard,Monthly,,,12.56,524,30
1883-MVTAZ,04-03-2019,Organic,04-03-2020,Basic,Annual,,,7.17,535,9
1884-ELXZS,02-07-2022,Organic,02-07-2023,Premium,Monthly,,,22.98,934,41
1885-LRZZC,24-10-2022,Refferal,24-10-2023,Standard,Monthly,,,15.11,850,79
1886-ZRWUZ,19-04-2019,Organic,19-04-2020,Premium,Monthly,23-05-2019,Too expensive,22.87,849,36
1887-UAAPK,04-05-2019,Paid,04-05-2020,Standard,Monthly,,,14.37,344,71
1888-TDFSE,26-09-2019,Refferal,26-09-2020,Standard,Monthly,,,12.02,650,69
1889-PMGFB,03-09-2019,Paid,03-09-2020,Basic,Annual,,,9.01,658,13
1890-UZHZE,15-01-2022,Paid,15-01-2023,Basic,Annual,08-12-2022,Not enough content,5.99,658,57
1891-DBBDX,17-04-2024,Organic,17-04-2025,Standard,Annual,03-12-2024,Too expensive,12.46,546,61
1892-XMSXM,06-02-2021,Paid,06-02-2022,Standard,Annual,24-08-2021,Switched to competitor,12.8,350,27
1893-YRUZJ,09-01-2020,Organic,09-01-2021,Standard,Monthly,,,14.76,770,20
1894-ATTEZ,18-05-2024,Paid,18-05-2025,Standard,Monthly,,,13.41,578,74
1895-UTZGK,20-02-2019,Organic,20-02-2020,Basic,Monthly,,,7.27,644,66
1896-ZHWGJ,05-11-2024,Organic,05-11-2025,Premium,Annual,,,21.69,351,64
1897-LVYYU,26-05-2023,Refferal,26-05-2024,Standard,Monthly,,,15.65,623,70
1898-JAZCN,24-05-2019,Organic,24-05-2020,Standard,Annual,18-08-2019,Too expensive,13.45,513,47
1899-LGTJJ,20-12-2024,Paid,20-12-2025,Standard,Monthly,,,14.72,920,91
1900-VTNGV,06-02-2020,Organic,06-02-2021,Premium,Monthly,,,18.1,855,76
1901-FASBQ,07-01-2019,Organic,07-01-2020,Basic,Annual,,,8.84,941,67
1902-QYBVA,25-08-2023,Paid,25-08-2024,Standard,Monthly,09-04-2024,Too expensive,16.24,1102,64
1903-SQUBN,15-04-2019,Organic,15-04-2020,Basic,Monthly,11-01-2020,Too expensive,8.31,501,50
1904-WNADM,27-08-2023,Paid,27-08-2024,Basic,Annual,,,11.43,949,26
1905-GMCEJ,01-09-2021,Organic,01-09-2022,Standard,Annual,,,15.09,985,15
1906-ARSHV,22-10-2022,Refferal,22-10-2023,Premium,Monthly,20-07-2023,Switched to competitor,16.37,896,76
1907-SBQCP,01-02-2022,Organic,01-02-2023,Standard,Monthly,25-11-2022,Not enough content,12.69,1182,58
1908-BAHCL,24-08-2022,Paid,24-08-2023,Standard,Annual,,,12.88,872,26
1909-FSYWF,16-03-2021,Paid,16-03-2022,Standard,Annual,,,18.31,824,51
1910-PHUWD,11-02-2023,Refferal,11-02-2024,Standard,Monthly,,,16.94,854,38
1911-MFKDU,04-08-2019,Refferal,04-08-2020,Basic,Monthly,06-03-2020,Poor streaming quality,10.7,820,88
1912-MZUMT,27-02-2021,Paid,27-02-2022,Basic,Annual,,,6.05,365,90
1913-NZXEN,05-04-2024,Refferal,05-04-2025,Standard,Monthly,25-10-2024,Too expensive,13.25,1067,63
1914-KLDQF,08-11-2023,Paid,08-11-2024,Basic,Annual,,,9.87,608,54
1915-ANWUM,07-06-2019,Organic,07-06-2020,Standard,Annual,05-03-2020,Forgot to cancel trial,14.09,308,60
1916-TJDWQ,27-12-2022,Organic,27-12-2023,Basic,Annual,,,7.34,242,47
1917-MCBMJ,18-10-2020,Refferal,18-10-2021,Standard,Monthly,,,14.84,1085,51
1918-EWEAE,02-02-2022,Organic,02-02-2023,Standard,Monthly,,,17.45,999,45
1919-XAJAA,06-08-2019,Organic,06-08-2020,Standard,Annual,,,13.83,773,37
1920-YAKYG,23-08-2020,Organic,23-08-2021,Basic,Annual,,,6.32,537,15
1921-VFRHU,28-08-2020,Organic,28-08-2021,Basic,Annual,,,9.37,739,23
1922-RJLAW,18-01-2020,Organic,18-01-2021,Basic,Annual,,,6.6,714,47
1923-DUXUY,07-06-2020,Refferal,07-06-2021,Basic,Monthly,10-08-2020,Switched to competitor,7.92,362,60
1924-RHWBQ,20-04-2024,Organic,20-04-2025,Basic,Annual,23-09-2024,Poor streaming quality,7.56,487,37
1925-DVAPT,13-10-2021,Paid,13-10-2022,Basic,Annual,,,7.6,338,9
1926-ZKBMQ,15-04-2023,Organic,15-04-2024,Basic,Annual,03-12-2023,Poor streaming quality,7.36,384,36
1927-MFKYW,01-12-2020,Organic,01-12-2021,Premium,Monthly,,,20.85,787,73
1928-DTNGW,04-06-2019,Organic,04-06-2020,Basic,Annual,,,6.56,232,14
1929-WNLYM,18-09-2019,Paid,18-09-2020,Basic,Annual,,,6.92,411,36
1930-CEYAU,19-03-2020,Organic,19-03-2021,Standard,Monthly,,,11.14,706,45
1931-BNRUJ,24-01-2020,Organic,24-01-2021,Standard,Monthly,,,15.3,532,43
1932-FUWTB,12-03-2023,Paid,12-03-2024,Standard,Annual,11-09-2023,Poor streaming quality,11.95,388,50
1933-QGEAW,23-10-2019,Refferal,23-10-2020,Standard,Monthly,,,15.25,525,14
1934-GVJWZ,20-04-2024,Organic,20-04-2025,Basic,Annual,25-11-2024,Too expensive,8.65,1054,46
1935-KABZY,14-12-2024,Refferal,14-12-2025,Premium,Monthly,,,21.76,864,38
1936-NYAPF,07-02-2024,Paid,07-02-2025,Premium,Annual,18-01-2025,Not enough content,17.08,551,55
1937-JXGXE,07-12-2022,Organic,07-12-2023,Premium,Annual,,,23,1189,41
1938-VMWCP,06-12-2021,Paid,06-12-2022,Basic,Monthly,21-05-2022,Not enough content,6.59,356,92
1939-FJUVN,13-04-2024,Paid,13-04-2025,Premium,Monthly,07-01-2025,Too expensive,25.02,911,83
1940-SBAYQ,09-12-2022,Paid,09-12-2023,Basic,Annual,,,8.8,94,54
1941-MBSBM,13-01-2022,Paid,13-01-2023,Standard,Monthly,,,13.38,878,78
1942-KXWDX,20-12-2023,Organic,20-12-2024,Standard,Annual,,,10.9,998,46
1943-CUHAL,23-04-2019,Organic,23-04-2020,Basic,Monthly,,,10.73,700,48
1944-RRAKS,09-11-2023,Paid,09-11-2024,Premium,Annual,,,20.18,828,17
1945-FUSVB,24-01-2022,Paid,24-01-2023,Premium,Annual,,,24.43,1241,50
1946-PDCLG,06-04-2022,Organic,06-04-2023,Premium,Annual,13-05-2022,Poor streaming quality,20.33,1015,97
1947-PUNQS,15-02-2022,Paid,15-02-2023,Standard,Annual,,,18.87,811,47
1948-KHATQ,25-06-2021,Organic,25-06-2022,Standard,Annual,,,10.65,441,81
1949-GQDZF,17-08-2022,Paid,17-08-2023,Premium,Monthly,,,21.47,691,39
1950-CXNWU,07-01-2021,Organic,07-01-2022,Premium,Annual,09-12-2021,Too expensive,19.15,727,40
1951-LBARA,27-05-2024,Paid,27-05-2025,Basic,Monthly,05-07-2024,Poor streaming quality,6.78,233,72
1952-PJPRM,26-03-2019,Organic,26-03-2020,Standard,Monthly,02-07-2019,Switched to competitor,14.48,529,84
1953-SXGFV,24-01-2020,Refferal,24-01-2021,Standard,Annual,16-05-2020,Not enough content,12.41,779,42
1954-QYDFJ,21-07-2023,Refferal,21-07-2024,Premium,Monthly,28-02-2024,Not enough content,21.42,794,49
1955-SBJSL,27-05-2024,Organic,27-05-2025,Premium,Monthly,13-04-2025,Poor streaming quality,18.56,1208,77
1956-FAKMU,02-12-2020,Paid,02-12-2021,Premium,Monthly,30-07-2021,Forgot to cancel trial,20.31,823,45
1957-KEJQQ,15-09-2023,Organic,15-09-2024,Standard,Monthly,,,15.17,610,84
1958-FNBYV,01-07-2020,Organic,01-07-2021,Basic,Annual,26-03-2021,Poor streaming quality,9,369,2
1959-TBVTR,16-10-2023,Refferal,16-10-2024,Basic,Annual,,,7.92,258,21
1960-LHSHT,27-06-2020,Paid,27-06-2021,Basic,Monthly,,,6.52,483,59
1961-QGXKX,15-01-2024,Refferal,15-01-2025,Standard,Monthly,,,9.07,417,7
1962-URTZG,22-02-2020,Organic,22-02-2021,Basic,Annual,,,9,348,2
1963-MRBZJ,07-08-2023,Organic,07-08-2024,Basic,Monthly,03-02-2024,Not enough content,6.83,390,81
1964-PAGLL,03-10-2019,Refferal,03-10-2020,Premium,Annual,,,21.83,803,57
1965-CSZDN,12-01-2023,Paid,12-01-2024,Basic,Annual,,,9.68,630,49
1966-GTQSF,27-04-2023,Organic,27-04-2024,Premium,Annual,,,29.63,1535,6
1967-ZFYTD,12-09-2020,Organic,12-09-2021,Premium,Monthly,,,20.36,981,68
1968-ALNDH,11-04-2024,Organic,11-04-2025,Standard,Monthly,05-01-2025,Not enough content,13.06,659,42
1969-EZTQQ,11-02-2019,Paid,11-02-2020,Standard,Monthly,03-10-2019,Too expensive,10.65,444,76
1970-SDAFX,26-12-2024,Refferal,26-12-2025,Basic,Monthly,,,5.99,781,39
1971-BUGTV,08-03-2022,Organic,08-03-2023,Basic,Annual,03-08-2022,Switched to competitor,6.81,299,50
1972-THDMP,02-04-2022,Refferal,02-04-2023,Standard,Monthly,07-07-2022,Forgot to cancel trial,15.66,1284,71
1973-QAFBC,09-10-2019,Paid,09-10-2020,Basic,Annual,,,7.6,516,60
1974-QFCRE,22-05-2022,Refferal,22-05-2023,Basic,Annual,,,10.84,641,25
1975-TZGGH,17-06-2024,Refferal,17-06-2025,Basic,Annual,,,7.56,520,40
1976-WQSDM,10-03-2022,Organic,10-03-2023,Standard,Monthly,,,14.54,836,53
1977-XKDJZ,24-11-2020,Paid,24-11-2021,Standard,Monthly,28-07-2021,Switched to competitor,17.46,900,81
1978-BDGBF,22-02-2020,Refferal,22-02-2021,Premium,Annual,,,19.99,804,33
1979-CYBRN,04-07-2021,Organic,04-07-2022,Standard,Monthly,,,15.92,556,89
